,Name,Score,Category,Price_Range
339,17. FISHFACE,9.4,Poke Restaurant,$
340,18. Half Million,9.4,Café,$
341,19. The60Pasta,9.4,Food Truck,$
342,20. فوال الافراح,9.4,Breakfast,$$$
343,21. Dopeamine,9.4,Bakery,$
344,22. أسماك دلة,9.4,Seafood,$$
345,23. Graph,9.3,Café,$
346,24. SHiRO,9.3,Japanese,$
347,25. Ghemar Cafe,9.3,Bakery,$$$
348,26. Lavash,9.3,Armenian,$$
349,27. Wasl Cafe,9.3,Café,$
350,1. Knoll Coffee Roasters,9.6,Café,$
351,2. ساين,9.6,Burgers,$
352,3. Al Hatab Bakery,9.5,Bakery,$
353,4. Red Box,9.5,Restaurant,$
354,5. WHJ CAFE,9.3,Café,$
355,6. Al Afrah Restaurant,9.3,Breakfast,$
356,7. Mama Noura,9.3,Shawarma Restaurant,$
357,8. DIA BAKERY,9.3,Bakery,$
358,9. Urth Caffé,9.2,Café,$
359,10. Al Hatab Bakery,9.2,Bakery,$$
360,11. BLANCA,9.2,Pizza,$
361,12. Armin,9.2,Eastern European,$
362,13. Dunkin' Donuts,9.2,Donuts,$
363,14. Al Hatab Bakery,9.1,Bakery,$
364,15. dr.CAFE COFFEE,9.1,Café,$$
365,16. كبدون,9.1,Breakfast,$$
366,17. Spread,9.1,BBQ,$
367,18. La Casa Pasta,9.1,Italian,$
368,19. Mama Noura,9.1,Shawarma Restaurant,$
369,20. Al Hatab Bakery,9.1,Bakery,$
370,21. Dunkin' Donuts,9.1,Donuts,$
371,22. دوار السعادة,9.1,Breakfast,$
372,23. Mama Noura,9.0,Shawarma Restaurant,$
373,24. Dunkin Dounts,9.0,Donuts,$
374,25. دانكن دونتس,9.0,Donuts,$
375,26. أفران الحطب || Alhatab Bakery,9.0,Bakery,$
376,1. Knoll Coffee Roasters,9.6,Café,$
377,2. ساين,9.6,Burgers,$
378,3. Al Hatab Bakery,9.5,Bakery,$
379,4. Red Box,9.5,Restaurant,$
380,5. WHJ CAFE,9.3,Café,$
381,6. Al Afrah Restaurant,9.3,Breakfast,$
382,7. Mama Noura,9.3,Shawarma Restaurant,$
383,8. DIA BAKERY,9.3,Bakery,$
384,9. Urth Caffé,9.2,Café,$
385,10. Al Hatab Bakery,9.2,Bakery,$$
386,11. BLANCA,9.2,Pizza,$
387,12. Armin,9.2,Eastern European,$
388,13. Dunkin' Donuts,9.2,Donuts,$
389,14. Al Hatab Bakery,9.1,Bakery,$
390,15. dr.CAFE COFFEE,9.1,Café,$$
391,16. كبدون,9.1,Breakfast,$$
392,17. Spread,9.1,BBQ,$
393,18. La Casa Pasta,9.1,Italian,$
394,19. Mama Noura,9.1,Shawarma Restaurant,$
395,20. Al Hatab Bakery,9.1,Bakery,$
396,21. Dunkin' Donuts,9.1,Donuts,$
397,22. دوار السعادة,9.1,Breakfast,$
398,23. Mama Noura,9.0,Shawarma Restaurant,$
399,24. Dunkin Dounts,9.0,Donuts,$
400,25. دانكن دونتس,9.0,Donuts,$
401,26. أفران الحطب || Alhatab Bakery,9.0,Bakery,$
402,1. Knoll Coffee Roasters,9.6,Café,$
403,2. ساين,9.6,Burgers,$
404,3. Al Hatab Bakery,9.5,Bakery,$
405,4. Red Box,9.5,Restaurant,$
406,5. WHJ CAFE,9.3,Café,$
407,6. Al Afrah Restaurant,9.3,Breakfast,$
408,7. Mama Noura,9.3,Shawarma Restaurant,$
409,8. DIA BAKERY,9.3,Bakery,$
410,9. Urth Caffé,9.2,Café,$
411,10. Al Hatab Bakery,9.2,Bakery,$$
412,11. BLANCA,9.2,Pizza,$
413,12. Armin,9.2,Eastern European,$
414,13. Dunkin' Donuts,9.2,Donuts,$
415,14. Al Hatab Bakery,9.1,Bakery,$
416,15. dr.CAFE COFFEE,9.1,Café,$$
417,16. كبدون,9.1,Breakfast,$$
418,17. Spread,9.1,BBQ,$
419,18. La Casa Pasta,9.1,Italian,$
420,19. Mama Noura,9.1,Shawarma Restaurant,$
421,20. Al Hatab Bakery,9.1,Bakery,$
422,21. Dunkin' Donuts,9.1,Donuts,$
423,22. دوار السعادة,9.1,Breakfast,$
424,23. Mama Noura,9.0,Shawarma Restaurant,$
425,24. Dunkin Dounts,9.0,Donuts,$
426,25. دانكن دونتس,9.0,Donuts,$
427,26. أفران الحطب || Alhatab Bakery,9.0,Bakery,$
